@relation kd1000-weka.filters.unsupervised.attribute.NumericCleaner-min1.0-min-defaultNaN-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-Rfirst-last-decimals-1

@attribute Geschlecht {w,m}
@attribute Alter {18-30,41-50,>60,31-40,51-60}
@attribute Kinder {nein,ja}
@attribute Familienstand {Partnerschaft,ledig}
@attribute Berufstaetig {ja,nein}
@attribute Einkaufstag {Montag,Mittwoch,Dienstag,Freitag,Samstag,Donnerstag}
@attribute Einkaufsuhrzeit {'10-12 Uhr','<10 Uhr','>17 Uhr','12-14 Uhr','14-17 Uhr'}
@attribute Wohnort {'> 25 km','< 10 km','10 - 25 km'}
@attribute Haushaltsnettoeinkommen {2000-<3200,>4500,1000-<2000,<1000,3200-<4500}
@attribute Stammkunde {'1 bis 5',0,'> 5'}
@attribute Einkaufssumme numeric
@attribute Elektrowerkzeuge numeric
@attribute Eisenwaren numeric
@attribute Handwerkzeuge numeric
@attribute Sanitaermaterial numeric
@attribute Schliesstechnik numeric
@attribute Fliesen numeric
@attribute Farben numeric
@attribute Armaturen numeric
@attribute Renovierung numeric
@attribute Elektromaterial numeric
@attribute Baustoffe numeric
@attribute Holz numeric
@attribute Bodenbelag numeric
@attribute Leuchten numeric
@attribute Aktionsware numeric

@data
w,18-30,nein,Partnerschaft,ja,Montag,'10-12 Uhr','> 25 km',2000-<3200,'1 bis 5',152,64,?,16,?,?,?,?,?,?,?,?,?,?,?,72
w,18-30,ja,ledig,ja,Mittwoch,'10-12 Uhr','< 10 km',>4500,'1 bis 5',979,?,4,10,?,72,246,?,?,195,?,342,?,?,?,184
w,18-30,nein,ledig,ja,Dienstag,'<10 Uhr','> 25 km',1000-<2000,0,802,?,?,4,21,?,135,?,?,48,225,330,?,?,?,156
m,18-30,ja,Partnerschaft,ja,Mittwoch,'>17 Uhr','< 10 km',1000-<2000,0,204,?,6,45,?,48,?,?,?,18,?,180,?,?,?,?
m,41-50,nein,ledig,ja,Freitag,'12-14 Uhr','> 25 km',1000-<2000,'> 5',317,?,?,?,9,?,243,?,231,250,?,?,?,?,?,58
m,>60,ja,Partnerschaft,ja,Dienstag,'14-17 Uhr','< 10 km',1000-<2000,'> 5',279,?,1,24,?,?,?,?,?,?,?,210,?,?,?,44
m,18-30,nein,ledig,ja,Dienstag,'>17 Uhr','10 - 25 km',1000-<2000,'> 5',326,82,27,28,?,54,?,?,?,22,63,?,26,?,?,128
w,18-30,ja,ledig,ja,Freitag,'10-12 Uhr','< 10 km',<1000,'1 bis 5',527,?,8,3,96,62,138,?,72,?,?,141,?,?,?,282
m,31-40,nein,Partnerschaft,ja,Samstag,'>17 Uhr','10 - 25 km',1000-<2000,'1 bis 5',725,?,10,12,?,?,99,?,?,60,82,150,69,?,?,234
w,41-50,ja,ledig,nein,Samstag,'10-12 Uhr','< 10 km',2000-<3200,'> 5',393,?,21,14,?,?,?,?,?,?,?,156,?,?,?,216
m,51-60,ja,ledig,ja,Freitag,'14-17 Uhr','< 10 km',2000-<3200,'> 5',270,?,?,12,74,?,?,?,261,96,?,?,?,?,?,59
m,18-30,nein,ledig,ja,Dienstag,'14-17 Uhr','< 10 km',1000-<2000,'1 bis 5',109,?,?,?,?,?,109,?,?,?,?,?,?,?,?,?
m,18-30,nein,ledig,ja,Samstag,'<10 Uhr','< 10 km',2000-<3200,'> 5',262,?,7,14,?,21,?,?,?,148,49,?,?,?,117,?
m,51-60,nein,ledig,ja,Samstag,'14-17 Uhr','< 10 km',<1000,'> 5',121,?,?,?,?,?,?,?,?,?,?,121,?,?,?,?
m,31-40,nein,Partnerschaft,nein,Montag,'>17 Uhr','10 - 25 km',3200-<4500,0,347,?,?,?,?,?,?,?,?,69,90,240,17,?,?,?
w,31-40,ja,ledig,nein,Freitag,'14-17 Uhr','< 10 km',2000-<3200,0,330,?,?,?,37,?,?,?,?,64,117,168,8,?,30,?
m,>60,ja,ledig,nein,Donnerstag,'10-12 Uhr','< 10 km',2000-<3200,'1 bis 5',26,?,?,?,?,?,?,?,?,74,26,?,?,?,99,?
m,18-30,nein,ledig,ja,Montag,'10-12 Uhr','< 10 km',1000-<2000,'> 5',73,?,12,22,?,?,?,?,?,?,61,?,?,?,?,?
m,>60,nein,Partnerschaft,ja,Dienstag,'>17 Uhr','< 10 km',1000-<2000,'1 bis 5',165,?,15,30,?,57,?,?,134,?,?,16,?,?,?,?
w,>60,ja,ledig,ja,Samstag,'10-12 Uhr','10 - 25 km',2000-<3200,'> 5',454,140,8,?,?,100,?,?,?,?,?,306,?,?,?,?
m,18-30,nein,ledig,ja,Montag,'>17 Uhr','> 25 km',3200-<4500,'> 5',672,?,3,45,126,16,83,?,243,183,?,219,54,?,?,87
w,31-40,nein,ledig,ja,Samstag,'10-12 Uhr','10 - 25 km',1000-<2000,'1 bis 5',530,?,6,30,?,10,?,?,?,267,?,13,?,?,?,230
m,41-50,ja,Partnerschaft,nein,Samstag,'10-12 Uhr','10 - 25 km',>4500,'1 bis 5',361,159,?,?,42,?,?,?,?,100,46,?,114,?,11,?
m,41-50,ja,ledig,nein,Dienstag,'12-14 Uhr','10 - 25 km',2000-<3200,'> 5',420,?,18,?,33,?,?,?,?,?,?,272,?,?,9,?
w,18-30,ja,Partnerschaft,ja,Montag,'>17 Uhr','10 - 25 km',>4500,'> 5',101,?,4,?,34,?,118,?,315,?,?,?,?,?,?,?
m,18-30,ja,Partnerschaft,nein,Montag,'10-12 Uhr','10 - 25 km',2000-<3200,'1 bis 5',292,?,12,?,6,?,79,?,231,?,?,?,?,?,?,256
m,41-50,ja,ledig,nein,Samstag,'14-17 Uhr','10 - 25 km',>4500,'1 bis 5',371,?,?,?,?,?,?,?,?,53,52,189,54,?,4,?
